"","mode","price.beach","price.pier","price.boat","price.charter","catch.beach","catch.pier","catch.boat","catch.charter","income"
"127","pier",55.74,55.74,66.888,85.388,0.2537,0.1498,0.2339,0.6288,7083.3317
"128","charter",134.366,134.366,31.74,61.24,0.0678,0.0052,0.0732,0.1726,3749.9999
"129","pier",49.74,49.74,59.688,78.188,0.2537,0.1498,0.2339,0.6288,6250.0013
"130","boat",205.27,205.27,94.74,129.74,0.0678,0.0789,0.0102,0.0209,12499.998
"131","boat",205.27,205.27,94.74,129.74,0.0678,0.0025,0.0108,0.2377,12499.998
"132","charter",107.77,107.77,49.74,84.74,0.0678,0.0789,0.0559,0.6456,6250.0013
"133","boat",261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7916.6663
"134","boat",108.966,108.966,25.74,55.24,0.0678,0.0503,0.0143,0.0289,2916.6666
"135","boat",286.766,286.766,67.74,97.24,0.0678,0.0503,0.0143,0.0289,8750.001
"136","boat",375.802,375.802,205.27,240.27,0.5333,0.4522,0.0156,0.0058,12499.998
"137","charter",68.77,68.77,31.74,66.74,0.0678,0.0025,0.0108,0.2377,3749.9999
"138","charter",68.77,68.77,31.74,66.74,0.0678,0.0789,0.0559,0.6456,3749.9999
"139","charter",67.784,67.784,17.862,52.862,0.5333,0.0069,0.0361,0.4216,1249.9998
"140","charter",186.184,186.184,49.062,84.062,0.5333,0.4522,0.2413,1.0266,4583.332
"141","boat",66.32,66.32,66.32,84.82,0.2537,0.1498,0.2339,0.6288,6250.0013
"142","charter",38.184,38.184,10.062,45.062,0.5333,0.4522,0.1665,0.3975,416.66668
"143","boat",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317
"144","charter",49.062,49.062,50.32,85.32,0.0678,0.0025,0.0108,0.2377,4583.332
"145","boat",333.258,333.258,94.506,129.506,0.5333,0.4522,0.2413,1.0266,6250.0013
"146","charter",85.698,85.698,60.306,84.306,0.1049,0.0451,0.0023,0.0046,3749.9999
"147","charter",166.698,166.698,166.698,185.198,0.2537,0.0014,0.0626,0.2773,7916.6663
"148","charter",252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4583.332
"149","boat",128.706,128.706,182.898,217.898,0.0678,0.0789,0.0897,1.0905,8750.001
"150","charter",212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999
"151","charter",212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3749.9999
"152","charter",92.058,92.058,26.106,61.106,0.5333,0.4522,0.0156,0.0058,1249.9998
"153","boat",139.35,139.35,63.172,87.172,0.1049,0.0079,0.0613,0.3087,7083.3317
"154","boat",109.35,109.35,49.572,73.572,0.1049,0.0079,0.0613,0.3087,5416.6667
"155","boat",323.31,323.31,56.372,91.372,0.5333,0.4522,0.2413,1.0266,6250.0013
"156","boat",71.214,71.214,71.214,96.214,0.0678,0.0503,0.0276,0.0029,2916.6666
"157","boat",94.35,94.35,42.772,66.772,0.1049,0.0451,0.1574,0.4671,4583.332
"158","charter",109.35,109.35,49.572,73.572,0.1049,0.0451,0.0023,0.0046,5416.6667
"159","pier",49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667
"160","charter",206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999
"161","charter",245.31,245.31,42.772,77.772,0.5333,0.4522,0.0051,1.0266,4583.332
"162","charter",206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999
"163","charter",64.35,64.35,167.31,192.31,0.2537,0.1498,0.6817,2.3014,2916.6666
"164","beach",42.772,42.772,104.414,133.414,0.0678,0.0789,0.1643,0.5391,4583.332
"165","charter",323.31,323.31,56.372,91.372,0.5333,0.0069,0.0361,0.4216,6250.0013
"166","beach",15.572,15.572,38.014,67.014,0.0678,0.0789,0.1643,0.5391,1249.9998
"167","boat",71.214,71.214,71.214,96.214,0.0678,0.0503,0.2601,0.5391,2916.6666
"168","boat",104.414,104.414,94.35,123.85,0.0678,0.0503,0.0143,0.0289,4583.332
"169","beach",124.35,124.35,124.35,142.85,0.2537,0.1498,0.2339,0.6288,6250.0013
"170","charter",104.414,104.414,104.414,129.414,0.0678,0.0503,0.2601,0.5391,4583.332
"171","boat",175.748,175.748,175.748,194.248,0.2537,0.1498,0.0233,0.0219,6250.0013
"172","boat",335.34,335.34,72.9,107.9,0.5333,0.0069,0.0361,0.4216,5416.6667
"173","charter",243.34,243.34,52.9,87.9,0.5333,0.4522,0.0156,0.0058,3749.9999
"174","beach",22.372,22.372,54.614,83.614,0.0678,0.0789,0.1643,0.5391,2083.3332
"175","charter",206.31,206.31,35.972,70.972,0.5333,0.0069,0.0361,0.4216,3749.9999
"176","charter",29.172,29.172,64.35,99.35,0.0678,0.0789,0.0897,1.0905,2916.6666
"177","boat",323.31,323.31,56.372,91.372,0.5333,0.4522,0.0051,1.0266,6250.0013
"178","charter",35.972,35.972,79.35,114.35,0.0678,0.0789,0.0559,0.6456,3749.9999
"179","boat",362.31,362.31,63.172,98.172,0.5333,0.4522,0.2413,1.0266,7083.3317
"180","charter",71.214,71.214,64.35,93.85,0.0678,0.0503,0.1082,0.324,2916.6666
"181","beach",49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667
"182","charter",151.008,151.008,32.604,67.604,0.5333,0.4522,0.2413,1.0266,2916.6666
"183","charter",186.208,186.208,40.204,75.204,0.5333,0.4522,0.2413,1.0266,3749.9999
"184","boat",92.058,92.058,26.106,61.106,0.5333,0.0069,0.0361,0.4216,1249.9998
"185","boat",37.506,37.506,57.904,86.904,0.0678,0.0789,0.0014,0.0029,2083.3332
"186","charter",132.258,132.258,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2083.3332
"187","charter",252.858,252.858,71.706,106.706,0.5333,0.0069,0.0361,0.4216,4583.332
"188","boat",252.858,252.858,71.706,106.706,0.5333,0.0069,0.0361,0.4216,4583.332
"189","beach",34.914,34.914,34.914,53.414,0.2537,0.1498,0.2339,0.6288,3749.9999
"190","charter",63.004,63.004,92.848,127.848,0.0678,0.0789,0.0102,0.0209,6250.0013
"191","charter",137.648,137.648,93.404,117.404,0.1049,0.0079,0.0613,0.3087,9583.3357
"192","charter",221.408,221.408,47.804,82.804,0.5333,0.4522,0.0051,1.0266,4583.332
"193","boat",206.31,206.31,35.972,70.972,0.5333,0.4522,0.1665,0.3975,3749.9999
"194","pier",21.714,21.714,21.714,40.214,0.2537,0.1498,0.2339,0.6288,2083.3332
"195","charter",10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1249.9998
"196","charter",206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3749.9999
"197","charter",252.858,252.858,71.706,106.706,0.5333,0.4522,0.1665,0.3975,4583.332
"198","pier",75.504,75.504,75.504,100.504,0.0678,0.0503,0.2601,0.5391,2916.6666
"199","charter",26.106,26.106,37.098,72.098,0.0678,0.0025,0.0108,0.2377,1249.9998
"200","charter",22.704,22.704,20.898,50.398,0.0678,0.0503,0.0016,0.1176,416.66668
"201","boat",71.706,71.706,101.898,136.898,0.0678,0.0789,0.0559,0.6456,4583.332
"202","beach",117.306,117.306,181.104,210.104,0.0678,0.0789,0.1643,0.5391,7916.6663
"203","charter",453.858,453.858,128.706,163.706,0.5333,0.0069,0.0361,0.4216,8750.001
"204","pier",26.106,26.106,40.304,69.304,0.0678,0.0025,0.0499,0.2421,1249.9998
"205","charter",132.258,132.258,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2083.3332
"206","boat",69.498,69.498,69.498,87.998,0.2537,0.1498,0.2339,0.6288,2916.6666
"207","boat",69.498,69.498,48.906,72.906,0.1049,0.0451,0.0023,0.0046,2916.6666
"208","boat",70.448,70.448,47.804,71.804,0.1049,0.0451,0.1574,0.4671,4583.332
"209","charter",116.64,116.64,116.64,141.64,0.0678,0.0503,0.0276,0.0029,5416.6667
"210","pier",47.804,47.804,100.64,129.64,0.0678,0.0789,0.0014,0.0029,4583.332
"211","charter",80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1249.9998
"212","charter",115.248,115.248,362.208,387.208,0.2537,0.1498,0.6817,2.3014,7916.6663
"213","charter",291.808,291.808,63.004,98.004,0.5333,0.4522,0.0156,0.0058,6250.0013
"214","pier",32.604,32.604,68.64,97.64,0.0678,0.0789,0.1643,0.5391,2916.6666
"215","charter",36.64,36.64,36.64,61.64,0.0678,0.0052,0.1491,0.2421,1249.9998
"216","charter",39.474,39.474,5.934,40.934,0.5333,0.4522,0.2413,1.0266,416.66668
"217","beach",120.004,120.004,252.64,281.64,0.0678,0.0789,0.1643,0.5391,12499.998
"218","charter",100.674,100.674,15.134,50.134,0.5333,0.4522,0.0156,0.0058,2083.3332
"219","charter",223.074,223.074,33.534,68.534,0.5333,0.4522,0.0156,0.0058,5416.6667
"220","charter",161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3749.9999
"221","charter",453.858,453.858,128.706,163.706,0.5333,0.4522,0.2413,1.0266,8750.001
"222","charter",252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4583.332
"223","boat",255.798,255.798,180.006,204.006,0.1049,0.0451,0.1574,0.4671,12499.998
"224","charter",71.706,71.706,110.704,139.704,0.0678,0.0789,0.0971,0.1648,4583.332
"225","boat",92.058,92.058,26.106,61.106,0.5333,0.4522,0.2413,1.0266,1249.9998
"226","charter",81.648,81.648,55.404,79.404,0.1049,0.0451,0.1574,0.4671,5416.6667
"227","pier",47.804,47.804,100.64,129.64,0.0678,0.0789,0.0014,0.0029,4583.332
"228","charter",221.408,221.408,47.804,82.804,0.5333,0.0069,0.0361,0.4216,4583.332
"229","charter",10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1249.9998
"230","pier",5.922,5.922,5.922,30.922,0.0678,0.0503,0.2601,0.5391,2083.3332
"231","pier",11.322,11.322,11.322,36.322,0.0678,0.0503,0.0276,0.0029,4583.332
"232","pier",6.29,6.29,6.29,35.29,0.0678,0.0789,0.1643,0.5391,4583.332
"233","boat",17.986,17.986,17.986,46.986,0.0678,0.0789,0.0014,0.0029,3749.9999
"234","charter",17.986,17.986,17.986,42.986,0.0678,0.0503,0.023,0.1648,3749.9999
"235","charter",17.986,17.986,17.986,46.986,0.0678,0.0789,0.1643,0.5391,3749.9999
"236","boat",45.186,45.186,45.186,70.186,0.0678,0.0503,0.2601,0.5391,10416.666
"237","beach",21.386,21.386,21.386,46.386,0.0678,0.0052,0.1491,0.2421,4583.332
"238","beach",9.522,9.522,9.522,34.522,0.0678,0.0503,0.2601,0.5391,3749.9999
"239","boat",316.342,316.342,51.842,86.842,0.5333,0.4522,0.2413,1.0266,3749.9999
"240","boat",32.242,32.242,5.922,34.922,0.0678,0.0789,0.0014,0.0029,2083.3332
"241","pier",9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3749.9999
"242","boat",11.322,11.322,11.322,36.322,0.0678,0.0503,0.0276,0.0029,4583.332
"243","beach",9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3749.9999
"244","beach",71.442,71.442,13.122,42.122,0.0678,0.0789,0.1643,0.5391,5416.6667
"245","boat",14.58,14.58,14.58,39.58,0.0678,0.0503,0.2601,0.5391,5416.6667
"246","charter",8.58,8.58,8.58,33.58,0.0678,0.0052,0.1491,0.2421,2916.6666
"247","charter",56.61,56.61,12.58,41.58,0.0678,0.0025,0.0499,0.2421,4583.332
"248","charter",18.58,18.58,18.58,43.58,0.0678,0.0503,0.2601,0.5391,7083.3317
"249","pier",8.58,8.58,8.58,33.58,0.0678,0.0503,0.2601,0.5391,2916.6666
"250","boat",359.022,359.022,666.11,691.11,0.2537,0.1498,0.0531,0.0052,8750.001
"251","charter",29.61,29.61,6.58,35.58,0.0678,0.0025,0.0499,0.2421,2083.3332
"252","boat",135.11,135.11,20.61,55.61,0.5333,0.4522,0.2413,1.0266,1249.9998
"253","charter",4.58,4.58,4.58,29.58,0.0678,0.0503,0.023,0.1648,1249.9998
"254","boat",6.58,6.58,6.58,31.58,0.0678,0.0503,0.0031,0.0041,2083.3332
"255","boat",31.586,31.586,31.586,56.586,0.0678,0.0052,0.1491,0.2421,7083.3317
"256","charter",24.786,24.786,24.786,49.786,0.0678,0.0052,0.1491,0.2421,5416.6667
"257","pier",13.818,13.818,13.818,42.818,0.0678,0.0025,0.0499,0.2421,2083.3332
"258","charter",30.618,30.618,30.618,59.618,0.0678,0.0789,0.1643,0.5391,5416.6667
"259","boat",214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2916.6666
"260","boat",264.5,264.5,5.29,40.29,0.5333,0.4522,0.0156,0.0058,3749.9999
"261","charter",4.29,4.29,4.29,33.29,0.0678,0.0789,0.0971,0.1648,2916.6666
"262","beach",4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998
"263","pier",5.922,5.922,5.922,30.922,0.0678,0.0503,0.0276,0.0029,2083.3332
"264","beach",71.442,71.442,13.122,42.122,0.0678,0.0025,0.0499,0.2421,5416.6667
"265","boat",5.922,5.922,5.922,30.922,0.0678,0.0503,0.0276,0.0029,2083.3332
"266","pier",15.87,15.87,15.87,40.87,0.0678,0.0503,0.0276,0.0029,3749.9999
"267","boat",6.45,6.45,3.87,32.87,0.0678,0.0789,0.0014,0.0029,416.66668
"268","boat",12.58,12.58,12.58,37.58,0.0678,0.0503,0.0276,0.0029,4583.332
"269","boat",6.58,6.58,6.58,31.58,0.0678,0.0052,0.1491,0.2421,2083.3332
"270","pier",6.58,6.58,6.58,31.58,0.0678,0.0503,0.2601,0.5391,2083.3332
"271","charter",7.722,7.722,7.722,32.722,0.0678,0.0503,0.0276,0.0029,2916.6666
"272","boat",164.5,164.5,3.29,38.29,0.5333,0.4522,0.1665,0.3975,2083.3332
"273","charter",5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3749.9999
"274","boat",3.29,3.29,3.29,32.29,0.0678,0.0789,0.0014,0.0029,2083.3332
"275","charter",5.29,5.29,5.29,34.29,0.0678,0.0789,0.0971,0.1648,3749.9999
"276","pier",2.29,2.29,2.29,31.29,0.0678,0.0789,0.0971,0.1648,1249.9998
"277","boat",264.5,264.5,5.29,40.29,0.5333,0.4522,0.0051,1.0266,3749.9999
"278","charter",7.29,7.29,7.29,36.29,0.0678,0.0789,0.0014,0.0029,5416.6667
"279","beach",13.29,13.29,13.29,42.29,0.0678,0.0789,0.1643,0.0041,10416.666
"280","charter",214.5,214.5,4.29,39.29,0.5333,0.4522,0.2413,1.0266,2916.6666
"281","charter",4.29,4.29,4.29,29.29,0.0678,0.0503,0.023,0.1648,2916.6666
"282","charter",166.212,166.212,7.29,31.29,0.1049,0.0079,0.0613,0.3087,5416.6667
"283","charter",6.29,6.29,6.29,35.29,0.0678,0.0789,0.0971,0.1648,4583.332
"284","boat",189.012,189.012,8.29,32.29,0.1049,0.0079,0.0613,0.3087,6250.0013
"285","charter",164.5,164.5,3.29,38.29,0.5333,0.0069,0.0361,0.4216,2083.3332
"286","charter",4.29,4.29,4.29,33.29,0.0678,0.0025,0.0499,0.2421,2916.6666
"287","charter",114.5,114.5,2.29,37.29,0.5333,0.4522,0.2413,1.0266,1249.9998
"288","pier",2.29,2.29,2.29,31.29,0.0678,0.0789,0.1643,0.5391,1249.9998
"289","pier",75.012,75.012,75.012,93.512,0.2537,0.1498,0.0233,0.0219,2083.3332
"290","pier",4.29,4.29,4.29,33.29,0.0678,0.0789,0.1643,0.5391,2916.6666
