"","hsgpa","hsengl","hscalc","course","passed","outcome"
"62",90.3,86,"Yes","Mainstrm","No","Failed"
"63",81,82,"Yes","Mainstrm","Yes","Passed"
"64",78.7,80,"Yes","Mainstrm","No","Failed"
"65",75.2,79,"No","Catch-up","No","Disappeared"
"66",76.5,56,"Yes","Mainstrm","Yes","Passed"
"67",76.3,77,"Yes","Mainstrm","Yes","Passed"
"68",78,76,"Yes","Mainstrm","No","Failed"
"69",76.8,78,"No","Catch-up","No","Disappeared"
"70",76.5,72,"No","Mainstrm","Yes","Passed"
"71",80,85,"Yes","Mainstrm","No","Failed"
"72",69.3,65,"Yes","Mainstrm","No","Disappeared"
"73",82.2,74,"Yes","Mainstrm","Yes","Passed"
"74",79.8,78,"Yes","Mainstrm","Yes","Passed"
"75",82,81,"Yes","Mainstrm","Yes","Passed"
"76",81,77,"Yes","Mainstrm","Yes","Passed"
"77",77,78,"Yes","Mainstrm","No","Disappeared"
"78",80.8,77,"No","Catch-up","No","Disappeared"
"79",71.5,70,"No","Catch-up","No","Disappeared"
"80",78.3,83,"Yes","Mainstrm","Yes","Passed"
"81",81.2,61,"Yes","Mainstrm","Yes","Passed"
"82",82.3,85,"Yes","Mainstrm","Yes","Passed"
"83",69.7,60,"Yes","Catch-up","No","Disappeared"
"84",78,68,"Yes","Mainstrm","Yes","Passed"
"85",75.5,75,"Yes","Mainstrm","No","Disappeared"
"86",82.7,71,"Yes","Elite","Yes","Passed"
"87",81,82,"Yes","Mainstrm","Yes","Passed"
"88",75.7,78,"Yes","Elite","Yes","Passed"
"89",85.2,86,"Yes","Mainstrm","No","Disappeared"
"90",77.3,74,"Yes","Mainstrm","No","Failed"
"91",75.8,78,"Yes","Mainstrm","No","Disappeared"
"92",83.7,81,"Yes","Mainstrm","Yes","Passed"
"93",88.2,75,"Yes","Mainstrm","Yes","Passed"
"94",75.5,79,"Yes","Mainstrm","No","Disappeared"
"95",82.3,80,"Yes","Mainstrm","No","Failed"
"96",76.3,78,"Yes","Mainstrm","Yes","Passed"
"97",80.5,73,"Yes","Mainstrm","Yes","Passed"
"98",77,82,"Yes","Mainstrm","Yes","Passed"
"99",79.3,72,"Yes","Elite","Yes","Passed"
"100",82.2,74,"Yes","Mainstrm","Yes","Passed"
"101",81,83,"Yes","Mainstrm","No","Disappeared"
"102",76.7,69,"Yes","Catch-up","No","Disappeared"
"103",78.2,75,"Yes","Mainstrm","Yes","Passed"
"104",76.8,83,"Yes","Mainstrm","No","Disappeared"
"105",78.2,71,"Yes","Mainstrm","Yes","Passed"
"106",75.2,71,"Yes","Mainstrm","Yes","Passed"
"107",82.2,80,"Yes","Mainstrm","Yes","Passed"
"108",84,72,"Yes","Mainstrm","Yes","Passed"
"109",83.3,76,"Yes","Mainstrm","Yes","Passed"
"110",74.5,62,"Yes","Mainstrm","Yes","Passed"
"111",85.3,74,"Yes","Mainstrm","No","Disappeared"
"112",80.3,74,"Yes","Mainstrm","Yes","Passed"
"113",88.5,75,"Yes","Mainstrm","Yes","Passed"
"114",76.5,82,"Yes","Mainstrm","No","Disappeared"
"115",76.2,72,"Yes","Mainstrm","No","Disappeared"
"116",88.5,87,"Yes","Mainstrm","Yes","Passed"
"117",80,80,"Yes","Mainstrm","No","Failed"
"118",77.5,82,"Yes","Mainstrm","No","Failed"
"119",78.7,75,"Yes","Mainstrm","No","Failed"
"120",93.3,90,"No","Catch-up","Yes","Passed"
"121",81.8,83,"Yes","Mainstrm","Yes","Passed"
"122",85.5,85,"Yes","Mainstrm","No","Disappeared"
"123",74.5,73,"Yes","Mainstrm","Yes","Passed"
"124",69.8,60,"Yes","Elite","No","Failed"
"125",75,66,"Yes","Elite","No","Failed"
"126",73.7,70,"Yes","Mainstrm","No","Disappeared"
"127",80.8,80,"Yes","Mainstrm","Yes","Passed"
"128",81.7,86,"Yes","Mainstrm","Yes","Passed"
"129",76.7,85,"Yes","Mainstrm","No","Disappeared"
"130",75.7,73,"Yes","Mainstrm","No","Failed"
"131",73.8,78,"Yes","Mainstrm","No","Disappeared"
"132",86.3,75,"Yes","Mainstrm","Yes","Passed"
"133",86.7,63,"Yes","Mainstrm","Yes","Passed"
"134",79.5,87,"Yes","Mainstrm","Yes","Passed"
"135",81,83,"Yes","Mainstrm","Yes","Passed"
"136",76.2,66,"Yes","Mainstrm","Yes","Passed"
"137",70.7,70,"Yes","Mainstrm","No","Failed"
"138",92.7,94,"Yes","Mainstrm","Yes","Passed"
"139",69.8,77,"Yes","Mainstrm","No","Disappeared"
"140",92.3,90,"Yes","Mainstrm","No","Failed"
"141",83.8,91,"Yes","Mainstrm","No","Failed"
"142",88.7,75,"Yes","Mainstrm","Yes","Passed"
"143",72.7,74,"Yes","Catch-up","No","Disappeared"
"144",73.5,65,"Yes","Catch-up","No","Disappeared"
"145",86.8,84,"Yes","Mainstrm","Yes","Passed"
"146",71.2,74,"Yes","Mainstrm","No","Disappeared"
"147",77.3,76,"Yes","Mainstrm","Yes","Passed"
"148",75.2,63,"Yes","Mainstrm","Yes","Passed"
"149",77.2,74,"No","Catch-up","No","Disappeared"
"150",86.8,74,"Yes","Mainstrm","Yes","Passed"
"151",82.5,90,"Yes","Mainstrm","No","Disappeared"
"152",76,87,"Yes","Mainstrm","Yes","Passed"
"153",91,91,"Yes","Mainstrm","Yes","Passed"
"154",87.3,77,"Yes","Mainstrm","Yes","Passed"
"155",84.7,85,"Yes","Mainstrm","Yes","Passed"
"156",79.3,74,"Yes","Mainstrm","Yes","Passed"
"157",83.5,73,"Yes","Mainstrm","Yes","Passed"
"158",74.8,72,"Yes","Elite","Yes","Passed"
"159",72.5,75,"Yes","Mainstrm","No","Failed"
"160",74.2,71,"Yes","Mainstrm","No","Failed"
"161",85.8,80,"Yes","Mainstrm","Yes","Passed"
"162",69.2,71,"No","Mainstrm","No","Disappeared"
"163",77.2,70,"Yes","Elite","No","Disappeared"
"164",73.7,78,"Yes","Mainstrm","No","Failed"
"165",83,84,"Yes","Mainstrm","Yes","Passed"
"166",84.7,87,"Yes","Mainstrm","No","Failed"
"167",70.7,83,"Yes","Mainstrm","Yes","Passed"
"168",83.8,63,"Yes","Mainstrm","No","Disappeared"
"169",72.5,65,"Yes","Catch-up","Yes","Passed"
"170",78.5,71,"Yes","Catch-up","Yes","Passed"
"171",79,70,"Yes","Mainstrm","No","Disappeared"
"172",81.2,73,"Yes","Elite","Yes","Passed"
"173",74.7,83,"Yes","Elite","No","Failed"
"174",81,85,"Yes","Mainstrm","No","Failed"
"175",83.8,79,"Yes","Mainstrm","No","Disappeared"
"176",84.7,80,"Yes","Mainstrm","Yes","Passed"
"177",86.8,75,"Yes","Elite","Yes","Passed"
"178",76.2,57,"Yes","Mainstrm","Yes","Passed"
"179",77.7,78,"Yes","Mainstrm","Yes","Passed"
"180",93.3,87,"Yes","Mainstrm","Yes","Passed"
"181",75.8,68,"Yes","Mainstrm","Yes","Passed"
"182",80.7,78,"Yes","Mainstrm","Yes","Passed"
"183",76.2,78,"Yes","Mainstrm","No","Failed"
"184",75,73,"Yes","Mainstrm","No","Disappeared"
"185",83.3,82,"Yes","Mainstrm","Yes","Passed"
"186",73.2,75,"Yes","Mainstrm","No","Disappeared"
"187",90.5,83,"Yes","Mainstrm","Yes","Passed"
"188",80.8,71,"Yes","Mainstrm","Yes","Passed"
"189",78,68,"Yes","Elite","No","Failed"
"190",73.5,64,"Yes","Catch-up","Yes","Passed"
"191",82.8,81,"Yes","Mainstrm","Yes","Passed"
"192",78.3,77,"Yes","Mainstrm","Yes","Passed"
"193",84.7,88,"Yes","Mainstrm","Yes","Passed"
"194",75.7,68,"No","Catch-up","No","Failed"
"195",78.2,72,"Yes","Mainstrm","No","Disappeared"
"196",95.8,95,"Yes","Mainstrm","Yes","Passed"
"197",95,90,"Yes","Elite","Yes","Passed"
"198",92.3,93,"Yes","Mainstrm","Yes","Passed"
"199",73,76,"Yes","Mainstrm","No","Disappeared"
"200",77.7,72,"Yes","Mainstrm","No","Failed"
"201",78.7,71,"Yes","Mainstrm","Yes","Passed"
"202",83,81,"Yes","Mainstrm","No","Failed"
"203",81.8,70,"Yes","Mainstrm","Yes","Passed"
"204",73.5,57,"Yes","Mainstrm","No","Failed"
"205",81,84,"Yes","Mainstrm","Yes","Passed"
"206",76.2,73,"No","Mainstrm","Yes","Passed"
"207",78,71,"Yes","Mainstrm","No","Failed"
"208",73.3,85,"Yes","Mainstrm","No","Failed"
"209",79.7,76,"Yes","Mainstrm","Yes","Passed"
"210",77.5,81,"Yes","Mainstrm","No","Disappeared"
"211",73.2,76,"Yes","Mainstrm","No","Disappeared"
"212",92.3,87,"Yes","Mainstrm","Yes","Passed"
"213",86.5,84,"Yes","Mainstrm","Yes","Passed"
"214",86.2,83,"Yes","Mainstrm","Yes","Passed"
"215",84,84,"Yes","Mainstrm","Yes","Passed"
"216",76.2,61,"Yes","Mainstrm","No","Disappeared"
"217",70.7,58,"Yes","Mainstrm","No","Disappeared"
"218",71.3,67,"Yes","Mainstrm","No","Disappeared"
"219",82.7,76,"Yes","Mainstrm","Yes","Passed"
"220",74,75,"Yes","Mainstrm","Yes","Passed"
"221",81.7,66,"Yes","Mainstrm","No","Failed"
"222",80.8,75,"Yes","Catch-up","No","Disappeared"
"223",81.3,77,"Yes","Mainstrm","Yes","Passed"
"224",87.3,86,"Yes","Mainstrm","Yes","Passed"
"225",82,81,"Yes","Mainstrm","Yes","Passed"
"226",81.5,60,"Yes","Elite","No","Disappeared"
"227",70,72,"Yes","Mainstrm","No","Failed"
"228",77.3,90,"Yes","Mainstrm","No","Failed"
"229",82.8,85,"Yes","Mainstrm","Yes","Passed"
"230",88,56,"Yes","Mainstrm","Yes","Passed"
"231",77.2,75,"Yes","Catch-up","Yes","Passed"
"232",76,77,"Yes","Mainstrm","No","Disappeared"
"233",79.7,85,"Yes","Mainstrm","No","Disappeared"
"234",81.2,78,"Yes","Mainstrm","Yes","Passed"
"235",92.7,84,"Yes","Mainstrm","No","Disappeared"
"236",84,78,"Yes","Mainstrm","Yes","Passed"
"237",94,83,"Yes","Mainstrm","Yes","Passed"
"238",79.3,76,"Yes","Mainstrm","Yes","Passed"
"239",76.8,67,"Yes","Catch-up","No","Failed"
"240",77.5,76,"Yes","Mainstrm","Yes","Passed"
"241",78.2,75,"Yes","Mainstrm","Yes","Passed"
"242",80.8,77,"Yes","Mainstrm","Yes","Passed"
"243",78.3,75,"Yes","Mainstrm","Yes","Passed"
"244",84.2,89,"Yes","Mainstrm","Yes","Passed"
"245",77.5,85,"Yes","Mainstrm","Yes","Passed"
"246",81.7,72,"Yes","Mainstrm","Yes","Passed"
"247",74.7,78,"Yes","Mainstrm","No","Disappeared"
"248",67.3,56,"No","Mainstrm","No","Failed"
"249",72.7,81,"Yes","Mainstrm","No","Disappeared"
"250",73.3,60,"No","Elite","Yes","Passed"
"251",91.8,92,"Yes","Mainstrm","Yes","Passed"
"252",88.5,86,"Yes","Mainstrm","Yes","Passed"
"253",75.8,80,"Yes","Mainstrm","Yes","Passed"
"254",76.3,54,"Yes","Elite","Yes","Passed"
"255",89,77,"Yes","Mainstrm","Yes","Passed"
"256",79.3,70,"Yes","Mainstrm","Yes","Passed"
"257",80.3,70,"Yes","Mainstrm","Yes","Passed"
"258",86.7,84,"Yes","Mainstrm","Yes","Passed"
"259",66,57,"Yes","Catch-up","No","Failed"
"260",71.8,78,"Yes","Mainstrm","Yes","Passed"
"261",77.7,66,"Yes","Elite","Yes","Passed"
"262",74.8,73,"Yes","Mainstrm","Yes","Passed"
"263",79.2,85,"Yes","Mainstrm","No","Disappeared"
"264",80.7,79,"Yes","Mainstrm","No","Disappeared"
"265",81.3,61,"Yes","Mainstrm","Yes","Passed"
"266",78,77,"Yes","Mainstrm","Yes","Passed"
"267",77,77,"Yes","Mainstrm","No","Failed"
"268",73.3,76,"Yes","Mainstrm","Yes","Passed"
"269",78.5,87,"Yes","Mainstrm","Yes","Passed"
"270",72.5,63,"Yes","Mainstrm","No","Failed"
"271",76,68,"Yes","Mainstrm","Yes","Passed"
"272",77.8,71,"No","Catch-up","No","Disappeared"
"273",91.5,87,"Yes","Mainstrm","Yes","Passed"
"274",75.3,80,"Yes","Elite","Yes","Passed"
"275",93.2,85,"Yes","Mainstrm","Yes","Passed"
"276",77.5,78,"Yes","Mainstrm","Yes","Passed"
"277",80.2,76,"Yes","Mainstrm","Yes","Passed"
"278",76.7,87,"Yes","Mainstrm","No","Disappeared"
"279",70.3,80,"Yes","Catch-up","No","Disappeared"
"280",79.5,76,"Yes","Mainstrm","No","Disappeared"
"281",80.2,76,"Yes","Mainstrm","No","Disappeared"
"282",94.3,92,"Yes","Mainstrm","Yes","Passed"
"283",80,78,"Yes","Mainstrm","Yes","Passed"
"284",78.2,81,"Yes","Mainstrm","Yes","Passed"
"285",92.5,89,"Yes","Mainstrm","Yes","Passed"
"286",74.5,77,"Yes","Mainstrm","Yes","Passed"
"287",78.7,87,"Yes","Mainstrm","No","Disappeared"
"288",77.5,70,"Yes","Mainstrm","No","Failed"
"289",76.8,66,"Yes","Mainstrm","No","Disappeared"
"290",84.3,65,"Yes","Mainstrm","Yes","Passed"
"291",74.5,67,"Yes","Mainstrm","Yes","Passed"
"292",82,84,"Yes","Mainstrm","Yes","Passed"
"293",87.8,82,"Yes","Mainstrm","Yes","Passed"
"294",74.3,71,"Yes","Mainstrm","No","Failed"
"295",85.2,69,"Yes","Mainstrm","Yes","Passed"
"296",69.8,80,"Yes","Mainstrm","No","Disappeared"
"297",73.8,70,"Yes","Mainstrm","No","Failed"
"298",79.5,78,"Yes","Elite","Yes","Passed"
"299",75,78,"Yes","Catch-up","No","Failed"
"300",70.5,65,"Yes","Mainstrm","Yes","Passed"
"301",87,81,"Yes","Mainstrm","Yes","Passed"
"302",90.8,84,"Yes","Mainstrm","Yes","Passed"
"303",71.3,77,"Yes","Mainstrm","No","Disappeared"
"304",74.7,80,"Yes","Mainstrm","Yes","Passed"
"305",96.2,92,"Yes","Elite","Yes","Passed"
"306",79.5,75,"Yes","Mainstrm","Yes","Passed"
"307",83.2,82,"Yes","Mainstrm","Yes","Passed"
"308",77.2,75,"Yes","Mainstrm","Yes","Passed"
"309",77.7,75,"Yes","Mainstrm","No","Disappeared"
"310",78.2,80,"Yes","Mainstrm","No","Failed"
"311",76.7,72,"Yes","Mainstrm","Yes","Passed"
"312",74,65,"Yes","Mainstrm","No","Disappeared"
"313",81.5,82,"Yes","Mainstrm","Yes","Passed"
"314",82.3,78,"No","Catch-up","No","Failed"
"315",80.5,73,"Yes","Mainstrm","Yes","Passed"
"316",73.7,69,"Yes","Mainstrm","Yes","Passed"
"317",91,90,"Yes","Elite","Yes","Passed"
"318",74,84,"Yes","Mainstrm","No","Failed"
"319",85.3,85,"Yes","Mainstrm","Yes","Passed"
"320",92.3,88,"Yes","Mainstrm","Yes","Passed"
"321",76.2,74,"Yes","Mainstrm","No","Disappeared"
"322",83,78,"Yes","Mainstrm","No","Failed"
"323",77,76,"Yes","Mainstrm","No","Disappeared"
"324",82,83,"Yes","Mainstrm","Yes","Passed"
"325",86.5,81,"Yes","Mainstrm","Yes","Passed"
"326",72.3,74,"Yes","Mainstrm","No","Failed"
"327",79.3,68,"No","Catch-up","No","Disappeared"
"328",76.3,77,"Yes","Catch-up","No","Disappeared"
"329",93.7,80,"Yes","Mainstrm","Yes","Passed"
"330",81,58,"Yes","Mainstrm","Yes","Passed"
"331",76.8,53,"Yes","Mainstrm","Yes","Passed"
"332",75.2,80,"Yes","Mainstrm","Yes","Passed"
"333",70.7,72,"Yes","Mainstrm","No","Disappeared"
"334",86.8,83,"Yes","Mainstrm","No","Disappeared"
"335",93.5,91,"Yes","Mainstrm","Yes","Passed"
"336",84.5,83,"Yes","Mainstrm","Yes","Passed"
"337",74.5,71,"Yes","Mainstrm","Yes","Passed"
"338",79,77,"Yes","Mainstrm","Yes","Passed"
"339",76,70,"Yes","Mainstrm","No","Disappeared"
"340",83.2,85,"No","Mainstrm","No","Disappeared"
"341",80.2,76,"Yes","Mainstrm","No","Failed"
"342",79.8,65,"Yes","Elite","Yes","Passed"
"343",77.2,74,"Yes","Mainstrm","No","Disappeared"
"344",88.7,88,"Yes","Mainstrm","Yes","Passed"
"345",69.5,70,"Yes","Catch-up","No","Disappeared"
"346",82.3,74,"Yes","Elite","Yes","Passed"
"347",79,74,"Yes","Mainstrm","Yes","Passed"
"348",86.7,77,"Yes","Mainstrm","Yes","Passed"
"349",78.3,76,"Yes","Mainstrm","Yes","Passed"
"350",72.8,74,"No","Catch-up","No","Disappeared"
"351",80,83,"Yes","Catch-up","Yes","Passed"
"352",78.3,68,"Yes","Mainstrm","Yes","Passed"
"353",79.2,91,"Yes","Mainstrm","No","Disappeared"
"354",91.5,86,"Yes","Mainstrm","Yes","Passed"
"355",86.7,88,"Yes","Mainstrm","Yes","Passed"
"356",81.8,74,"Yes","Mainstrm","Yes","Passed"
"357",80,85,"Yes","Catch-up","No","Disappeared"
"358",72.5,75,"Yes","Mainstrm","Yes","Passed"
"359",81.5,72,"Yes","Mainstrm","No","Disappeared"
"360",79.5,71,"Yes","Mainstrm","Yes","Passed"
"361",76.2,71,"Yes","Mainstrm","Yes","Passed"
"362",73,61,"Yes","Mainstrm","No","Failed"
"363",89.2,81,"Yes","Mainstrm","Yes","Passed"
"364",73.2,77,"Yes","Mainstrm","Yes","Passed"
"365",77.2,78,"Yes","Catch-up","No","Disappeared"
"366",74.8,88,"Yes","Mainstrm","No","Failed"
"367",80,75,"Yes","Elite","Yes","Passed"
"368",77.5,79,"Yes","Mainstrm","No","Failed"
"369",75.2,75,"Yes","Mainstrm","No","Disappeared"
"370",81,66,"Yes","Elite","Yes","Passed"
"371",81.3,85,"No","Mainstrm","No","Failed"
"372",73.8,71,"Yes","Mainstrm","Yes","Passed"
"373",78.8,74,"Yes","Mainstrm","Yes","Passed"
"374",76.2,84,"Yes","Mainstrm","No","Disappeared"
"375",83.8,84,"Yes","Mainstrm","Yes","Passed"
"376",74.7,82,"Yes","Mainstrm","No","Disappeared"
"377",76.7,67,"Yes","Mainstrm","Yes","Passed"
"378",77.2,85,"Yes","Elite","Yes","Passed"
"379",78.3,77,"Yes","Mainstrm","Yes","Passed"
"380",92.5,86,"Yes","Mainstrm","Yes","Passed"
"381",77.8,70,"Yes","Mainstrm","Yes","Passed"
"382",88.7,83,"Yes","Mainstrm","Yes","Passed"
"383",81.2,75,"Yes","Mainstrm","Yes","Passed"
"384",90.5,91,"Yes","Elite","Yes","Passed"
"385",93.7,96,"Yes","Mainstrm","Yes","Passed"
"386",85.2,90,"Yes","Mainstrm","Yes","Passed"
"387",72.5,76,"Yes","Mainstrm","No","Disappeared"
"388",84.8,68,"Yes","Mainstrm","Yes","Passed"
"389",78.3,84,"Yes","Mainstrm","Yes","Passed"
"390",88.3,90,"Yes","Mainstrm","Yes","Passed"
"391",77,79,"Yes","Mainstrm","Yes","Passed"
"392",80.7,70,"Yes","Mainstrm","Yes","Passed"
"393",80.7,81,"Yes","Mainstrm","Yes","Passed"
"394",82.2,86,"Yes","Catch-up","Yes","Passed"
