"","sex","agedays","age","t1","t2","t3","t4","d1","d2","d3","d4"
"49",1,4060,11,1,3,2,2,1,1,0,0
"50",1,3999,10,2,2,2,2,0,0,0,0
"51",1,3966,10,1,3,1,3,1,1,1,1
"52",2,3934,10,1,3,1,3,1,1,1,1
"53",2,4312,11,2,2,2,2,0,0,0,0
"54",2,3968,10,1,2,1,3,1,0,1,1
"55",2,3825,10,1,3,1,3,1,1,1,1
"56",2,3947,10,2,2,2,2,0,0,0,0
"57",1,4834,13,1,3,1,3,1,1,1,1
"58",1,4379,11,1,3,1,3,1,1,1,1
"59",1,4763,13,1,3,1,3,1,1,1,1
"60",1,4502,12,1,2,1,2,1,0,1,0
"61",1,4333,11,1,3,3,3,1,1,0,1
"62",1,4725,12,1,3,1,3,1,1,1,1
"63",1,4211,11,2,3,2,2,0,1,0,0
"64",2,4171,11,1,3,1,3,1,1,1,1
"65",2,4512,12,1,2,2,2,1,0,0,0
"66",1,2929,8,2,2,2,2,0,0,0,0
"67",1,2990,8,2,2,2,2,0,0,0,0
"68",1,2866,7,2,2,2,2,0,0,0,0
"69",1,3069,8,2,2,2,2,0,0,0,0
"70",1,2799,7,2,2,2,2,0,0,0,0
"71",1,3026,8,2,3,1,3,0,1,1,1
"72",1,3039,8,3,3,3,3,0,1,0,1
"73",1,2851,7,2,3,3,3,0,1,0,1
"74",1,2578,7,2,2,2,2,0,0,0,0
"75",1,3109,8,1,3,1,3,1,1,1,1
"76",1,2978,8,2,2,2,2,0,0,0,0
"77",1,2748,7,2,2,2,2,0,0,0,0
"78",1,3135,8,2,2,2,2,0,0,0,0
"79",1,2936,8,1,3,1,3,1,1,1,1
"80",2,3034,8,2,2,2,2,0,0,0,0
"81",2,2737,7,2,2,2,2,0,0,0,0
"82",2,2800,7,2,3,2,3,0,1,0,1
"83",2,3136,8,2,2,2,2,0,0,0,0
"84",2,2806,7,2,2,2,2,0,0,0,0
"85",2,2939,8,1,3,1,3,1,1,1,1
"86",2,2728,7,1,3,1,3,1,1,1,1
"87",2,3328,9,1,3,1,3,1,1,1,1
"88",2,2880,7,1,3,3,3,1,1,0,1
"89",2,2840,7,2,2,2,2,0,0,0,0
"90",2,3039,8,2,2,2,2,0,0,0,0
"91",2,2840,7,2,2,3,2,0,0,0,0
"92",2,2971,8,2,2,2,2,0,0,0,0
"93",2,2879,7,2,2,2,2,0,0,0,0
"94",2,2820,7,2,3,2,3,0,1,0,1
"95",2,3338,9,1,3,1,2,1,1,1,0
"96",1,3345,9,1,3,1,3,1,1,1,1
"97",1,3322,9,2,2,2,2,0,0,0,0
"98",1,3342,9,2,2,2,2,0,0,0,0
"99",1,3438,9,2,3,2,3,0,1,0,1
"100",1,3494,9,1,3,1,3,1,1,1,1
"101",1,3252,8,2,2,2,2,0,0,0,0
"102",1,3337,9,2,2,2,2,0,0,0,0
"103",1,3463,9,1,3,1,3,1,1,1,1
"104",1,3336,9,1,3,1,3,1,1,1,1
"105",1,3264,8,2,1,3,2,0,0,0,0
"106",1,3313,9,1,3,1,3,1,1,1,1
"107",1,3319,9,2,2,2,2,0,0,0,0
"108",1,3055,8,2,2,2,2,0,0,0,0
"109",1,3263,8,2,2,2,2,0,0,0,0
"110",1,3158,8,1,3,1,3,1,1,1,1
"111",2,3230,8,2,2,2,2,0,0,0,0
"112",2,3329,9,1,3,1,3,1,1,1,1
"113",2,3344,9,1,3,1,3,1,1,1,1
"114",2,3213,8,1,3,1,1,1,1,1,0
"115",2,3347,9,2,2,2,2,0,0,0,0
"116",2,3279,8,2,2,2,2,0,0,0,0
"117",2,3226,8,2,2,2,2,0,0,0,0
"118",2,3311,9,1,3,1,3,1,1,1,1
"119",2,3363,9,2,3,2,2,0,1,0,0
"120",2,3321,9,2,3,2,3,0,1,0,1
"121",2,3266,8,1,3,1,3,1,1,1,1
"122",2,3304,9,1,3,3,3,1,1,0,1
"123",2,3277,8,2,2,2,2,0,0,0,0
"124",2,3336,9,1,3,1,3,1,1,1,1
"125",2,3115,8,2,3,2,3,0,1,0,1
"126",2,3327,9,2,2,3,2,0,0,0,0
"127",2,3362,9,2,3,3,3,0,1,0,1
"128",2,3129,8,2,2,2,2,0,0,0,0
"129",1,3687,10,1,3,1,3,1,1,1,1
"130",1,3684,10,1,3,1,3,1,1,1,1
"131",1,3653,10,1,3,1,3,1,1,1,1
"132",1,3636,9,2,3,2,3,0,1,0,1
"133",1,3458,9,1,3,1,3,1,1,1,1
"134",1,3752,10,1,3,1,3,1,1,1,1
"135",1,3783,10,2,2,2,2,0,0,0,0
"136",1,3761,10,2,2,2,2,0,0,0,0
"137",2,3918,10,1,3,1,3,1,1,1,1
"138",2,3554,9,1,3,1,3,1,1,1,1
"139",2,3710,10,1,3,1,3,1,1,1,1
"140",2,3586,9,1,3,1,3,1,1,1,1
"141",2,3564,9,1,3,1,3,1,1,1,1
"142",2,3647,9,1,3,1,3,1,1,1,1
"143",2,3821,10,2,2,2,2,0,0,0,0
"144",2,3603,9,2,2,3,3,0,0,0,1
"145",2,3586,9,1,3,2,3,1,1,0,1
"146",2,3697,10,2,2,2,2,0,0,0,0
"147",2,3645,9,2,2,2,2,0,0,0,0
"148",2,3850,10,1,3,1,3,1,1,1,1
"149",1,4001,10,1,3,1,3,1,1,1,1
"150",1,4088,11,1,3,1,2,1,1,1,0
"151",1,4056,11,2,2,2,2,0,0,0,0
"152",1,3896,10,1,3,1,3,1,1,1,1
"153",1,4015,10,1,3,1,3,1,1,1,1
"154",1,4078,11,2,2,2,2,0,0,0,0
"155",1,4093,11,1,3,1,3,1,1,1,1
"156",1,4041,11,2,3,1,3,0,1,1,1
"157",1,3905,10,2,2,1,3,0,0,1,1
"158",2,3920,10,1,3,1,3,1,1,1,1
"159",2,3869,10,1,3,1,2,1,1,1,0
"160",2,4018,11,1,3,1,3,1,1,1,1
"161",2,3977,10,1,3,1,3,1,1,1,1
"162",2,3856,10,1,3,1,3,1,1,1,1
"163",2,4033,11,2,1,1,3,0,0,1,1
"164",2,3894,10,1,3,1,3,1,1,1,1
"165",2,4460,12,2,2,2,2,0,0,0,0
"166",2,4084,11,2,2,2,2,0,0,0,0
"167",2,3885,10,1,3,1,3,1,1,1,1
"168",2,4116,11,1,3,1,3,1,1,1,1
"169",2,4483,12,1,3,1,3,1,1,1,1
"170",2,4074,11,1,3,1,2,1,1,1,0
"171",2,3884,10,1,3,1,3,1,1,1,1
"172",1,4192,11,1,3,1,3,1,1,1,1
"173",1,4301,11,2,2,2,2,0,0,0,0
"174",1,4263,11,1,3,1,3,1,1,1,1
"175",1,4846,13,1,3,2,3,1,1,0,1
"176",1,4465,12,1,3,1,3,1,1,1,1
"177",1,4537,12,1,3,1,3,1,1,1,1
"178",1,4921,13,2,3,2,3,0,1,0,1
"179",1,4684,12,1,3,1,3,1,1,1,1
"180",1,4495,12,1,3,1,3,1,1,1,1
"181",1,4332,11,1,3,1,3,1,1,1,1
"182",1,4281,11,1,3,1,3,1,1,1,1
"183",1,4246,11,1,3,1,3,1,1,1,1
"184",2,4263,11,1,3,1,3,1,1,1,1
"185",2,4593,12,1,3,1,3,1,1,1,1
"186",2,4386,12,1,3,1,3,1,1,1,1
"187",2,4353,11,1,3,1,3,1,1,1,1
"188",2,4539,12,1,3,1,3,1,1,1,1
"189",2,4377,11,1,3,1,3,1,1,1,1
"190",2,4269,11,1,2,1,3,1,0,1,1
"191",2,4678,12,1,3,1,3,1,1,1,1
"192",2,4334,11,2,2,2,3,0,0,0,1
"193",2,4286,11,1,3,1,3,1,1,1,1
"194",2,4630,12,1,3,1,3,1,1,1,1
"195",2,4391,12,1,3,1,3,1,1,1,1
"196",2,4448,12,1,3,1,3,1,1,1,1
"197",2,4501,12,1,3,1,3,1,1,1,1
"198",2,4214,11,1,3,1,3,1,1,1,1
"199",1,3639,9,1,3,1,3,1,1,1,1
"200",1,3358,9,1,3,1,3,1,1,1,1
"201",1,3326,9,2,2,2,2,0,0,0,0
"202",1,3247,8,2,2,2,2,0,0,0,0
"203",1,3367,9,1,3,1,3,1,1,1,1
"204",1,3206,8,1,3,1,3,1,1,1,1
"205",1,3382,9,2,2,2,2,0,0,0,0
"206",1,3457,9,2,2,2,2,0,0,0,0
"207",1,3740,10,2,2,2,3,0,0,0,1
"208",1,3256,8,1,3,1,3,1,1,1,1
"209",1,3398,9,1,3,1,3,1,1,1,1
"210",2,3590,9,1,3,1,3,1,1,1,1
"211",2,3288,9,1,3,1,3,1,1,1,1
"212",2,3387,9,2,2,2,2,0,0,0,0
"213",2,3343,9,2,2,2,2,0,0,0,0
"214",2,3153,8,2,2,2,2,0,0,0,0
"215",2,3484,9,1,3,1,3,1,1,1,1
"216",2,3428,9,1,3,1,3,1,1,1,1
"217",2,3570,9,1,3,1,3,1,1,1,1
"218",2,3240,8,1,1,1,3,1,0,1,1
"219",2,3407,9,2,2,2,2,0,0,0,0
"220",1,3309,9,2,3,2,3,0,1,0,1
"221",1,3051,8,2,2,2,2,0,0,0,0
"222",1,2895,7,2,2,2,2,0,0,0,0
"223",1,2927,8,2,2,2,2,0,0,0,0
"224",1,2811,7,2,2,2,2,0,0,0,0
"225",1,2776,7,2,2,2,2,0,0,0,0
"226",1,2730,7,2,2,2,2,0,0,0,0
"227",1,3077,8,2,2,2,2,0,0,0,0
"228",1,3432,9,1,2,2,2,1,0,0,0
"229",1,2888,7,2,2,2,2,0,0,0,0
"230",1,3092,8,2,2,2,2,0,0,0,0
"231",1,2856,7,2,2,2,3,0,0,0,1
"232",1,3003,8,2,2,2,2,0,0,0,0
"233",1,2891,7,2,2,2,2,0,0,0,0
"234",1,3008,8,2,2,2,2,0,0,0,0
"235",1,2757,7,2,3,1,3,0,1,1,1
"236",2,3041,8,2,2,2,2,0,0,0,0
"237",2,3133,8,2,2,2,2,0,0,0,0
"238",2,3052,8,2,2,2,2,0,0,0,0
"239",2,2759,7,1,3,1,3,1,1,1,1
"240",2,3063,8,2,2,2,2,0,0,0,0
"241",2,2905,7,2,2,2,2,0,0,0,0
"242",2,2846,7,2,2,2,2,0,0,0,0
"243",2,3213,8,2,2,2,2,0,0,0,0
"244",1,4086,11,1,3,1,3,1,1,1,1
"245",1,3933,10,2,2,2,2,0,0,0,0
"246",1,4219,11,1,2,1,3,1,0,1,1
"247",1,3828,10,1,3,1,3,1,1,1,1
"248",1,4278,11,2,2,2,2,0,0,0,0
"249",1,3976,10,1,3,1,3,1,1,1,1
"250",1,3912,10,1,3,1,3,1,1,1,1
"251",1,3952,10,1,3,1,3,1,1,1,1
"252",1,4222,11,1,2,1,2,1,0,1,0
"253",1,4315,11,2,3,1,3,0,1,1,1
"254",1,4337,11,2,2,2,2,0,0,0,0
"255",1,4199,11,1,3,1,3,1,1,1,1
"256",1,3919,10,1,3,1,3,1,1,1,1
"257",1,4093,11,2,2,2,2,0,0,0,0
"258",1,4385,12,2,2,2,2,0,0,0,0
"259",2,3839,10,2,2,2,2,0,0,0,0
"260",2,3827,10,1,3,1,3,1,1,1,1
"261",2,4306,11,2,3,2,2,0,1,0,0
"262",2,4443,12,2,2,2,3,0,0,0,1
"263",2,4008,10,1,3,1,1,1,1,1,0
"264",2,4170,11,1,3,1,3,1,1,1,1
"265",2,4429,12,1,3,1,3,1,1,1,1
"266",2,4187,11,2,2,2,2,0,0,0,0
"267",2,4118,11,1,3,1,3,1,1,1,1
"268",2,4256,11,2,2,2,2,0,0,0,0
"269",2,4036,11,1,3,1,3,1,1,1,1
"270",2,3984,10,2,2,2,2,0,0,0,0
"271",1,2968,8,2,2,2,2,0,0,0,0
"272",1,2449,6,2,2,2,2,0,0,0,0
"273",1,2444,6,2,2,2,2,0,0,0,0
"274",1,2802,7,2,2,2,2,0,0,0,0
"275",1,2698,7,2,2,2,2,0,0,0,0
"276",1,2501,6,2,2,2,2,0,0,0,0
"277",1,2746,7,2,2,2,2,0,0,0,0
"278",1,2483,6,2,2,2,2,0,0,0,0
"279",1,2958,8,2,2,2,2,0,0,0,0
"280",1,2342,6,2,2,2,2,0,0,0,0
"281",1,2525,6,2,2,2,2,0,0,0,0
"282",2,2639,7,2,2,2,2,0,0,0,0
"283",2,2644,7,2,2,2,2,0,0,0,0
"284",2,2515,6,2,2,2,2,0,0,0,0
"285",2,2573,7,2,2,2,2,0,0,0,0
"286",2,2568,7,2,2,2,2,0,0,0,0
"287",2,2509,6,2,2,2,2,0,0,0,0
"288",2,2539,6,2,2,2,2,0,0,0,0
"289",2,2630,7,2,2,2,2,0,0,0,0
"290",2,2669,7,2,2,2,2,0,0,0,0
"291",2,2701,7,2,2,2,2,0,0,0,0
"292",2,2597,7,2,2,2,2,0,0,0,0
"293",2,2646,7,2,2,2,2,0,0,0,0
"294",2,4812,13,2,2,2,2,0,0,0,0
"295",1,3707,10,3,1,3,1,0,0,0,0
"296",1,4529,12,1,3,1,3,1,1,1,1
"297",1,4640,12,2,3,1,3,0,1,1,1
"298",1,4364,11,2,2,2,2,0,0,0,0
"299",1,4440,12,2,2,2,2,0,0,0,0
"300",1,4291,11,1,3,3,3,1,1,0,1
"301",1,4178,11,2,2,2,2,0,0,0,0
"302",1,4331,11,1,2,1,3,1,0,1,1
"303",2,4502,12,3,1,3,1,0,0,0,0
"304",2,4209,11,2,2,3,2,0,0,0,0
"305",2,4569,12,2,2,1,3,0,0,1,1
"306",2,4488,12,2,2,1,2,0,0,1,0
"307",2,4261,11,1,3,1,3,1,1,1,1
"308",2,4415,12,3,1,3,1,0,0,0,0
"309",2,4328,11,3,1,3,1,0,0,0,0
"310",2,4516,12,1,3,1,3,1,1,1,1
"311",2,4399,12,2,2,1,2,0,0,1,0
"312",2,4364,11,3,3,3,1,0,1,0,0
"313",2,4399,12,2,2,2,2,0,0,0,0
"314",1,3717,10,1,3,1,3,1,1,1,1
"315",1,3934,10,1,2,1,3,1,0,1,1
"316",1,3718,10,2,3,1,3,0,1,1,1
"317",1,4094,11,2,2,2,2,0,0,0,0
"318",1,3862,10,1,3,1,3,1,1,1,1
"319",1,3644,9,1,3,1,3,1,1,1,1
"320",1,3589,9,2,2,2,2,0,0,0,0
"321",1,3591,9,2,2,2,3,0,0,0,1
"322",1,3723,10,1,3,1,3,1,1,1,1
"323",2,3731,10,1,3,1,3,1,1,1,1
"324",2,3626,9,2,2,2,2,0,0,0,0
"325",2,3645,9,1,3,1,3,1,1,1,1
"326",2,3609,9,2,3,1,3,0,1,1,1
"327",2,3937,10,2,2,2,2,0,0,0,0
"328",2,3543,9,2,2,2,2,0,0,0,0
"329",2,4022,11,1,3,1,3,1,1,1,1
"330",2,3472,9,1,3,1,3,1,1,1,1
"331",2,3938,10,1,1,1,3,1,0,1,1
"332",2,3506,9,1,3,1,3,1,1,1,1
"333",2,3776,10,1,3,1,3,1,1,1,1
"334",2,3575,9,2,3,1,3,0,1,1,1
"335",2,3918,10,1,3,1,3,1,1,1,1
"336",2,4355,11,1,3,1,3,1,1,1,1
"337",2,3691,10,1,3,1,3,1,1,1,1
"338",1,3805,10,1,3,1,3,1,1,1,1
"339",1,3851,10,2,2,2,2,0,0,0,0
"340",1,3616,9,2,2,2,2,0,0,0,0
"341",1,3908,10,2,2,2,2,0,0,0,0
"342",1,3513,9,1,3,1,3,1,1,1,1
"343",1,3941,10,2,2,2,2,0,0,0,0
"344",1,3911,10,1,3,1,3,1,1,1,1
"345",1,3638,9,2,2,2,2,0,0,0,0
"346",1,3767,10,2,2,1,3,0,0,1,1
"347",1,3839,10,1,3,1,3,1,1,1,1
"348",1,3346,9,3,3,2,3,0,1,0,1
"349",1,3764,10,1,3,1,3,1,1,1,1
"350",2,3761,10,1,2,2,2,1,0,0,0
"351",2,3593,9,2,2,2,2,0,0,0,0
"352",2,3897,10,2,2,2,2,0,0,0,0
"353",2,3569,9,1,3,1,3,1,1,1,1
"354",2,3543,9,2,2,2,2,0,0,0,0
"355",2,3471,9,1,3,2,3,1,1,0,1
"356",2,3586,9,2,2,2,2,0,0,0,0
"357",2,3695,10,2,2,2,2,0,0,0,0
"358",2,3848,10,2,2,3,2,0,0,0,0
"359",2,3730,10,2,2,2,2,0,0,0,0
"360",2,4022,11,1,3,2,2,1,1,0,0
"361",2,3781,10,1,3,1,3,1,1,1,1
"362",2,3697,10,2,2,2,2,0,0,0,0
"363",2,3942,10,2,3,2,2,0,1,0,0
"364",2,3894,10,1,3,1,3,1,1,1,1
"365",1,4326,11,2,2,2,2,0,0,0,0
"366",1,4451,12,2,2,2,2,0,0,0,0
"367",1,4435,12,2,2,2,2,0,0,0,0
"368",1,4145,11,1,3,1,3,1,1,1,1
"369",1,3844,10,1,3,1,3,1,1,1,1
"370",1,3871,10,2,2,2,2,0,0,0,0
"371",1,3827,10,1,3,1,3,1,1,1,1
"372",1,4220,11,2,3,1,3,0,1,1,1
"373",1,3968,10,1,3,2,3,1,1,0,1
"374",1,4317,11,2,2,2,2,0,0,0,0
"375",1,4054,11,3,2,2,3,0,0,0,1
"376",1,4285,11,1,3,2,3,1,1,0,1
"377",2,3963,10,1,3,1,3,1,1,1,1
"378",2,3827,10,1,3,1,3,1,1,1,1
"379",2,4053,11,2,3,1,3,0,1,1,1
"380",2,5003,13,2,2,2,3,0,0,0,1
"381",2,3925,10,1,3,1,3,1,1,1,1
"382",2,4196,11,1,2,2,3,1,0,0,1
"383",2,3996,10,1,3,1,3,1,1,1,1
"384",2,4108,11,1,3,1,3,1,1,1,1
"385",2,4100,11,2,2,2,2,0,0,0,0
"386",2,4004,10,2,2,2,2,0,0,0,0
"387",2,3891,10,1,3,1,3,1,1,1,1
"388",2,3844,10,2,2,2,2,0,0,0,0
"389",2,3946,10,1,3,3,3,1,1,0,1
"390",2,3861,10,1,3,1,3,1,1,1,1
"391",2,4240,11,1,3,1,3,1,1,1,1
"392",2,3946,10,1,3,1,3,1,1,1,1
"393",2,4348,11,1,3,2,3,1,1,0,1
"394",1,4394,12,2,2,1,2,0,0,1,0
"395",1,4397,12,2,3,1,3,0,1,1,1
"396",1,4438,12,2,3,1,3,0,1,1,1
"397",1,4860,13,1,3,1,3,1,1,1,1
"398",1,4636,12,1,1,1,3,1,0,1,1
"399",1,4491,12,1,3,1,3,1,1,1,1
"400",1,4205,11,1,3,1,3,1,1,1,1
"401",1,4597,12,1,3,1,3,1,1,1,1
"402",1,4227,11,1,3,1,3,1,1,1,1
"403",1,4552,12,1,3,1,3,1,1,1,1
"404",1,4370,11,1,3,1,3,1,1,1,1
"405",1,4334,11,1,2,2,3,1,0,0,1
"406",1,4661,12,1,3,2,3,1,1,0,1
"407",1,4302,11,1,3,1,3,1,1,1,1
"408",2,4234,11,1,3,1,3,1,1,1,1
"409",2,4537,12,1,3,1,3,1,1,1,1
"410",2,4413,12,1,3,1,3,1,1,1,1
"411",1,4533,12,2,3,1,3,0,1,1,1
"412",2,4172,11,1,3,1,3,1,1,1,1
"413",2,4334,11,2,2,3,2,0,0,0,0
"414",2,4392,12,2,2,2,2,0,0,0,0
"415",2,4568,12,1,3,2,3,1,1,0,1
"416",2,4634,12,3,3,1,3,0,1,1,1
"417",2,4555,12,3,3,1,3,0,1,1,1
"418",2,4438,12,2,2,2,2,0,0,0,0
"419",2,4819,13,1,3,1,3,1,1,1,1
"420",1,3295,9,2,2,2,2,0,0,0,0
"421",1,2988,8,2,2,2,2,0,0,0,0
"422",1,2856,7,2,2,2,2,0,0,0,0
"423",1,3052,8,2,2,2,2,0,0,0,0
"424",1,3007,8,2,2,2,2,0,0,0,0
"425",1,2979,8,2,3,3,2,0,1,0,0
"426",1,2926,8,2,3,2,2,0,1,0,0
"427",2,3045,8,1,3,1,3,1,1,1,1
"428",2,2769,7,2,2,2,2,0,0,0,0
"429",2,3210,8,2,2,2,2,0,0,0,0
"430",2,3487,9,2,2,2,2,0,0,0,0
"431",1,3121,8,2,2,2,2,0,0,0,0
"432",2,3521,9,2,2,2,1,0,0,0,0
"433",1,3932,10,1,2,1,3,1,0,1,1
"434",2,3625,9,2,2,2,2,0,0,0,0
"435",2,3695,10,2,2,2,2,0,0,0,0
"436",1,4790,13,1,3,1,3,1,1,1,1
"437",1,4861,13,1,3,1,3,1,1,1,1
"438",1,4690,12,1,3,1,3,1,1,1,1
"439",1,4768,13,1,3,1,3,1,1,1,1
"440",1,4659,12,1,3,1,3,1,1,1,1
"441",1,4658,12,3,1,3,1,0,0,0,0
"442",1,4937,13,1,3,2,3,1,1,0,1
"443",1,4766,13,1,3,1,3,1,1,1,1
"444",1,4691,12,1,3,1,3,1,1,1,1
"445",1,4601,12,1,3,1,3,1,1,1,1
"446",1,4631,12,1,3,1,3,1,1,1,1
"447",1,4592,12,1,3,1,3,1,1,1,1
"448",1,4619,12,1,3,1,3,1,1,1,1
"449",1,4826,13,1,3,1,3,1,1,1,1
"450",1,4844,13,1,3,1,3,1,1,1,1
"451",1,4876,13,1,3,1,3,1,1,1,1
"452",1,4533,12,1,3,1,3,1,1,1,1
"453",1,4797,13,1,3,1,3,1,1,1,1
"454",1,4644,12,1,3,1,3,1,1,1,1
"455",1,4757,13,1,3,1,3,1,1,1,1
"456",2,4605,12,1,3,1,3,1,1,1,1
"457",2,4880,13,1,3,1,3,1,1,1,1
"458",2,4844,13,1,3,1,3,1,1,1,1
"459",2,4578,12,1,3,1,3,1,1,1,1
"460",2,4698,12,1,3,1,3,1,1,1,1
"461",2,4671,12,1,3,1,3,1,1,1,1
"462",2,4672,12,2,2,2,2,0,0,0,0
"463",2,4961,13,1,3,1,2,1,1,1,0
"464",2,4538,12,1,3,1,3,1,1,1,1
"465",2,4793,13,1,3,1,3,1,1,1,1
"466",2,4722,12,1,3,1,3,1,1,1,1
"467",2,4871,13,1,3,1,3,1,1,1,1
"468",2,4931,13,2,3,1,3,0,1,1,1
"469",2,4876,13,1,3,1,3,1,1,1,1
"470",2,4346,11,1,3,1,3,1,1,1,1
"471",2,4828,13,1,3,2,3,1,1,0,1
"472",2,4333,11,1,2,3,3,1,0,0,1
"473",2,4661,12,1,3,1,3,1,1,1,1
"474",2,4687,12,1,3,1,3,1,1,1,1
"475",1,5610,15,1,3,1,3,1,1,1,1
"476",1,5955,16,1,3,1,3,1,1,1,1
"477",1,5364,14,1,3,1,3,1,1,1,1
"478",1,5408,14,1,3,1,3,1,1,1,1
"479",1,5639,15,1,3,1,3,1,1,1,1
"480",1,5556,15,1,3,1,3,1,1,1,1
"481",1,5577,15,1,3,1,3,1,1,1,1
"482",1,5563,15,1,3,1,3,1,1,1,1
"483",1,5733,15,1,3,1,3,1,1,1,1
"484",1,5332,14,1,3,1,3,1,1,1,1
"485",1,5283,14,1,3,1,3,1,1,1,1
"486",1,5305,14,1,3,1,3,1,1,1,1
"487",1,5940,16,1,3,1,3,1,1,1,1
"488",1,5812,15,1,3,1,3,1,1,1,1
"489",2,5375,14,1,3,1,3,1,1,1,1
"490",2,5311,14,1,3,1,3,1,1,1,1
"491",2,5991,16,1,3,1,3,1,1,1,1
"492",2,5496,15,1,3,1,3,1,1,1,1
"493",2,5481,15,1,3,1,3,1,1,1,1
"494",2,5447,14,1,3,1,3,1,1,1,1
"495",2,5599,15,1,3,1,3,1,1,1,1
"496",2,5527,15,1,3,1,3,1,1,1,1
"497",2,5532,15,1,3,1,3,1,1,1,1
"498",2,5467,14,1,3,1,3,1,1,1,1
"499",2,5931,16,1,3,1,3,1,1,1,1
"500",2,5539,15,1,3,1,3,1,1,1,1
"501",1,5448,14,1,3,1,3,1,1,1,1
"502",1,5567,15,1,3,1,3,1,1,1,1
"503",1,5599,15,1,3,1,3,1,1,1,1
"504",1,5572,15,1,3,1,3,1,1,1,1
"505",1,6009,16,1,3,1,3,1,1,1,1
"506",1,5344,14,1,3,1,3,1,1,1,1
"507",1,5350,14,1,3,1,3,1,1,1,1
"508",1,5639,15,1,3,1,3,1,1,1,1
"509",1,5571,15,1,3,1,3,1,1,1,1
"510",1,5623,15,1,3,1,3,1,1,1,1
"511",1,5794,15,1,3,1,3,1,1,1,1
"512",1,5579,15,1,3,1,3,1,1,1,1
"513",2,5893,16,1,3,1,3,1,1,1,1
"514",2,5517,15,1,3,1,3,1,1,1,1
"515",2,5712,15,1,3,1,3,1,1,1,1
"516",2,5600,15,1,3,1,3,1,1,1,1
"517",2,5540,15,1,3,1,3,1,1,1,1
"518",2,5687,15,1,3,1,3,1,1,1,1
"519",2,5582,15,1,3,1,2,1,1,1,0
"520",2,5458,14,1,2,1,3,1,0,1,1
"521",2,5878,16,1,3,1,3,1,1,1,1
"522",2,5785,15,1,2,1,3,1,0,1,1
"523",2,5506,15,1,3,1,3,1,1,1,1
"524",1,5465,14,1,3,1,3,1,1,1,1
"525",1,5624,15,1,3,1,3,1,1,1,1
"526",1,5517,15,1,3,1,3,1,1,1,1
"527",1,5815,15,1,3,1,3,1,1,1,1
"528",1,5755,15,1,3,1,3,1,1,1,1
"529",1,5602,15,1,2,1,3,1,0,1,1
"530",1,5337,14,1,3,1,3,1,1,1,1
"531",1,6173,16,1,3,1,3,1,1,1,1
"532",2,5364,14,1,2,1,3,1,0,1,1
"533",2,5304,14,1,3,1,3,1,1,1,1
"534",2,5457,14,1,3,1,3,1,1,1,1
"535",2,5600,15,1,3,1,3,1,1,1,1
